ticker,name,exchange,currency,price,market_cap_usd,dollar_volume_usd,first_trade,fifty_two_week_high,pulled,source
NEU,NewMarket Corporation,NYQ,USD,900.15,8278145024.0,106491346.0,1980-03-17,981.66,2026-09-04,Yahoo Finance screener via yfinance
VIST,"Vista Energy, S.A.B. de C.V.",NYQ,USD,74.61,8253165056.0,70757736.0,2019-07-26,81.44,2026-09-04,Yahoo Finance screener via yfinance
VICR,Vicor Corporation,NMS,USD,178.76,8242039296.0,156023337.0,1990-04-03,382.65,2026-09-04,Yahoo Finance screener via yfinance
TXG,"10x Genomics, Inc.",NMS,USD,63.22,8237007872.0,201611615.0,2019-09-12,66.94,2026-09-04,Yahoo Finance screener via yfinance
AOS,A. O. Smith Corporation,NYQ,USD,60.53,8226546176.0,102371968.0,1983-09-30,81.87,2026-09-04,Yahoo Finance screener via yfinance
HESM,Hess Midstream LP,NYQ,USD,39.85,8216207872.0,44460286.0,2017-04-05,41.44,2026-09-04,Yahoo Finance screener via yfinance
GTLB,GitLab Inc.,NMS,USD,49.31,8215786496.0,250811370.0,2021-10-14,55.55,2026-09-04,Yahoo Finance screener via yfinance
STN.TO,Stantec Inc.,TOR,CAD,100.67,8205184622.0,36959272.0,1996-08-13,160.05,2026-09-04,Yahoo Finance screener via yfinance
HQY,"HealthEquity, Inc.",NMS,USD,98.78,8170616832.0,87023501.0,2014-07-31,107.62,2026-09-04,Yahoo Finance screener via yfinance
ATR,"AptarGroup, Inc.",NYQ,USD,128.31,8158094336.0,58905838.0,1993-04-23,146.91,2026-09-04,Yahoo Finance screener via yfinance
ZETA,Zeta Global Holdings Corp.,NYQ,USD,32.68,8145738752.0,287460437.0,2021-06-10,32.75,2026-09-04,Yahoo Finance screener via yfinance
