ticker,close,date
LYFT,15.235,2026-09-21
LYV,169.55,2026-09-21
M,22.36,2026-09-21
MAA,119.545,2026-09-21
MAC,22.645,2026-09-21
MAN,57.02,2026-09-21
MANH,208.7,2026-09-21
MAR,340.62,2026-09-21
MAS,68.05,2026-09-21
MAT,13.075,2026-09-21
MATX,228.11,2026-09-21
MBLY,8.045,2026-09-21
MCD,248.68,2026-09-21
MCHP,74.25,2026-09-21
MCK,886.435,2026-09-21
MCRI,120.98,2026-09-21
MD,25.71,2026-09-21
MDB,396.63,2026-09-21
MDLZ,60.6,2026-09-21
MDT,91.78,2026-09-21
MDU,18.695,2026-09-21
MEDP,623.475,2026-09-21
MELI,1825.34,2026-09-21
MEOH,59.44,2026-09-21
META,729.54,2026-09-21
MGA,63.305,2026-09-21
MGEE,73.695,2026-09-21
MGM,38.52,2026-09-21
MGNI,25.09,2026-09-21
MGRC,110.965,2026-09-21
MGY,24.31,2026-09-21
MHK,119.19,2026-09-21
MHO,141.6125,2026-09-21
MIDD,110.28,2026-09-21
MIR,16.225,2026-09-21
MIRM,92.7,2026-09-21
MKC,49.36,2026-09-21
MKSI,255.3,2026-09-21
MLI,60.54,2026-09-21
MLM,498.55,2026-09-21
MMM,165.72,2026-09-21
MMS,56.515,2026-09-21
MMSI,85.41,2026-09-21
MMYT,47.855,2026-09-21
MNDY,87.34,2026-09-21
MNST,44.245,2026-09-21
MO,68.695,2026-09-21
MOD,197.07,2026-09-21
MOH,197.89,2026-09-21
MOS,24.38,2026-09-21
MP,50.19,2026-09-21
MPC,414.13,2026-09-21
MPLX,59.07,2026-09-21
MPT,3.5777,2026-09-21
MPWR,1258.23,2026-09-21
MRCY,86.8,2026-09-21
MRK,148.9847,2026-09-21
MRNA,167.835,2026-09-21
MRU.TO,91.87,2026-09-21
MRVL,255.0,2026-09-21
MSA,178.635,2026-09-21
MSFT,495.37,2026-09-21
MSGE,80.95,2026-09-21
MSGS,401.615,2026-09-21
MSI,461.26,2026-09-21
MSTR,165.97,2026-09-21
MT,72.44,2026-09-21
MTCH,43.15,2026-09-21
MTD,1426.96,2026-09-21
MTDR,54.11,2026-09-21
